车次ID,车站名,到达日期,到达时间,出发日期,出发时间
G339,北京西,2025-08-26,12:26,2025-08-26,12:26
G339,石家庄,2025-08-26,13:37,2025-08-26,13:42
G339,鹤壁东,2025-08-26,14:43,2025-08-26,15:00
G339,新乡东,2025-08-26,15:16,2025-08-26,15:18
G339,郑州东,2025-08-26,15:38,2025-08-26,15:42
G339,许昌东,2025-08-26,16:04,2025-08-26,16:10
G339,漯河西,2025-08-26,16:26,2025-08-26,16:28
G339,驻马店西,2025-08-26,16:46,2025-08-26,16:48
G339,信阳东,2025-08-26,17:13,2025-08-26,17:16
G339,武汉,2025-08-26,18:00,2025-08-26,18:20
G339,咸宁北,2025-08-26,18:44,2025-08-26,18:46
G339,岳阳东,2025-08-26,19:17,2025-08-26,19:19
G339,长沙南,2025-08-26,19:54,2025-08-26,19:57
G339,衡阳东,2025-08-26,20:35,2025-08-26,20:37
G339,耒阳西,2025-08-26,20:54,2025-08-26,21:07
G339,郴州西,2025-08-26,21:28,2025-08-26,21:30
G339,广州南,2025-08-26,22:52,,
