车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-09-22,12:26,2025-09-22,12:26,0,,23.2,17.0,1.5,1.5,0.0,6.0,10.6,28.1,88.0,68.0,53,毛毛雨
G339,石家庄,2025-09-22,13:37,2025-09-22,13:42,0,,21.0,16.3,0.4,0.4,0.0,2.0,7.4,19.8,100.0,75.0,51,小毛毛雨
G339,鹤壁东,2025-09-22,14:43,2025-09-22,15:00,0,,16.5,14.3,16.0,16.0,0.0,19.0,17.9,32.4,100.0,90.0,63,中雨
G339,新乡东,2025-09-22,15:16,2025-09-22,15:18,-1,,17.3,14.8,23.6,23.6,0.0,20.0,14.7,29.9,100.0,91.0,63,中雨
G339,郑州东,2025-09-22,15:38,2025-09-22,15:42,0,,16.8,14.4,28.1,28.1,0.0,23.0,13.6,32.4,100.0,93.0,63,中雨
G339,许昌东,2025-09-22,16:04,2025-09-22,16:10,0,,18.0,15.2,13.2,13.2,0.0,16.0,19.1,38.5,100.0,92.0,63,中雨
G339,漯河西,2025-09-22,16:26,2025-09-22,16:28,0,,18.9,16.3,7.5,7.5,0.0,15.0,18.6,39.2,100.0,92.0,61,小雨
G339,驻马店西,2025-09-22,16:46,2025-09-22,16:48,0,,20.3,16.8,4.6,4.6,0.0,19.0,18.0,36.7,100.0,92.0,55,浓毛毛雨
G339,信阳东,2025-09-22,17:13,2025-09-22,17:16,1,,21.4,18.4,0.7,0.7,0.0,7.0,18.6,37.1,100.0,87.0,51,小毛毛雨
G339,武汉,2025-09-22,18:00,2025-09-22,18:20,-3,,25.8,21.3,0.0,0.0,0.0,0.0,12.0,28.4,78.0,85.0,3,阴
G339,咸宁北,2025-09-22,18:44,2025-09-22,18:46,0,,27.0,20.5,0.3,0.3,0.0,3.0,11.8,26.3,68.0,82.0,51,小毛毛雨
G339,岳阳东,2025-09-22,19:17,2025-09-22,19:19,0,,25.3,21.1,0.0,0.0,0.0,0.0,16.9,37.4,99.0,85.0,3,阴
G339,长沙南,2025-09-22,19:54,2025-09-22,19:57,1,,26.3,21.5,0.0,0.0,0.0,0.0,14.9,36.7,87.0,85.0,3,阴
G339,衡阳东,2025-09-22,20:35,2025-09-22,20:37,1,,29.1,21.8,0.0,0.0,0.0,0.0,16.1,34.9,90.0,79.0,3,阴
G339,耒阳西,2025-09-22,20:54,2025-09-22,21:07,1,,28.8,22.2,0.0,0.0,0.0,0.0,16.5,31.7,97.0,76.0,3,阴
G339,郴州西,2025-09-22,21:28,2025-09-22,21:30,0,,26.9,21.7,2.1,2.1,0.0,14.0,11.6,24.1,99.0,88.0,51,小毛毛雨
G339,广州南,2025-09-22,22:52,,,-3,,32.3,23.8,0.4,0.4,0.0,2.0,11.4,29.9,27.0,80.0,51,小毛毛雨
